"","FileName","frogID","begin.time.s","end.time.s","Note_type","note.dur.s","INI","note.period","note_num_series","call_type","series_type","series_seq","note_type_uc","note_type_relabel","call_type_relabel","series_bin","note_num_series_bin","series_seq_cat"
"3280","./amplitude_detector_tables/male_10_four_call_bouts.Amplitude.Detector.selections.txt",1626,172.6691178,172.6828826,"1",0.0138,0.0639482,0.077713,1,"doublet","solo",0,"1","1","doublet","1","1","0"
"3281","./amplitude_detector_tables/male_10_four_call_bouts.Amplitude.Detector.selections.txt",1626,172.7468308,172.7877253,"2",0.0409,1.5855856,1.6264801,2,"doublet","solo",0,"2","2","doublet","1","2","0"
"3282","./amplitude_detector_tables/male_10_four_call_bouts.Amplitude.Detector.selections.txt",1626,174.3733109,174.389409,"1",0.0161,0.0649414,0.0810395,1,"doublet","three",1,"1","1","doublet","3","1","1"
"3283","./amplitude_detector_tables/male_10_four_call_bouts.Amplitude.Detector.selections.txt",1626,174.4543504,174.4977265,"2",0.0434,0.2305039,0.27388,2,"doublet","three",1,"2","2","doublet","3","2","1"
"3284","./amplitude_detector_tables/male_10_four_call_bouts.Amplitude.Detector.selections.txt",1626,174.7282304,174.7417697,"1",0.0135,0.0659437,0.079483,3,"doublet","three",2,"1","1","doublet","3","3","50"
"3285","./amplitude_detector_tables/male_10_four_call_bouts.Amplitude.Detector.selections.txt",1626,174.8077134,174.8460441,"2",0.0383,0.6241408,0.6624715,4,"doublet","three",2,"2","2","doublet","3","4","50"
"3286","./amplitude_detector_tables/male_10_four_call_bouts.Amplitude.Detector.selections.txt",1626,175.4701849,175.568748,"3",0.0986,1.3634771,1.4620402,5,"squeak","three",3,"uc","3",NA,"3","5","100"
"3287","./amplitude_detector_tables/male_10_four_call_bouts.Amplitude.Detector.selections.txt",1626,176.9322251,176.9475149,"1",0.0153,0.0690456,0.0843354,1,"doublet","two",1,"1","1","doublet","2","1","1"
"3288","./amplitude_detector_tables/male_10_four_call_bouts.Amplitude.Detector.selections.txt",1626,177.0165605,177.0687175,"2",0.0522,0.1876501,0.2398071,2,"doublet","two",1,"2","2","doublet","2","2","1"
"3289","./amplitude_detector_tables/male_10_four_call_bouts.Amplitude.Detector.selections.txt",1626,177.2563676,177.2732438,"1",0.0169,0.0592041,0.0760803,3,"doublet","two",2,"1","1","doublet","2","3","100"
"3290","./amplitude_detector_tables/male_10_four_call_bouts.Amplitude.Detector.selections.txt",1626,177.3324479,177.3678985,"2",0.0355,1.7889665,1.8244171,4,"doublet","two",2,"2","2","doublet","2","4","100"
"3291","./amplitude_detector_tables/male_10_four_call_bouts.Amplitude.Detector.selections.txt",1626,179.156865,179.1718113,"1",0.0149,0.0681226,0.0830689,1,"doublet","two",1,"1","1","doublet","2","1","1"
"3292","./amplitude_detector_tables/male_10_four_call_bouts.Amplitude.Detector.selections.txt",1626,179.2399339,179.2895995,"2",0.0497,0.1828936,0.2325592,2,"doublet","two",1,"2","2","doublet","2","2","1"
"3293","./amplitude_detector_tables/male_10_four_call_bouts.Amplitude.Detector.selections.txt",1626,179.4724931,179.4854465,"1",0.013,0.0612501,0.0742035,3,"doublet","two",2,"1","1","doublet","2","3","100"
"3294","./amplitude_detector_tables/male_10_four_call_bouts.Amplitude.Detector.selections.txt",1626,179.5466966,179.583303,"2",0.0366,1.8028406,1.839447,4,"doublet","two",2,"2","2","doublet","2","4","100"
"3295","./amplitude_detector_tables/male_10_four_call_bouts.Amplitude.Detector.selections.txt",1626,181.3861436,181.4006723,"1",0.0145,0.0687385,0.0832672,1,"doublet","two",1,"1","1","doublet","2","1","1"
"3296","./amplitude_detector_tables/male_10_four_call_bouts.Amplitude.Detector.selections.txt",1626,181.4694108,181.5175392,"2",0.0481,0.1991708,0.2472992,2,"doublet","two",1,"2","2","doublet","2","2","1"
"3297","./amplitude_detector_tables/male_10_four_call_bouts.Amplitude.Detector.selections.txt",1626,181.71671,181.7295826,"1",0.0129,0.0608884,0.073761,3,"doublet","two",2,"1","1","doublet","2","3","100"
"3298","./amplitude_detector_tables/male_10_four_call_bouts.Amplitude.Detector.selections.txt",1626,181.790471,181.8286801,"2",0.0382,4.8564747,4.8946838,4,"doublet","two",2,"2","2","doublet","2","4","100"
"3299","./amplitude_detector_tables/male_10_four_call_bouts.Amplitude.Detector.selections.txt",1626,186.6851548,186.6972074,"1",0.0121,0.0667591,0.0788117,1,"doublet","solo",0,"1","1","doublet","1","1","0"
"3300","./amplitude_detector_tables/male_10_four_call_bouts.Amplitude.Detector.selections.txt",1626,186.7639665,186.8081064,"2",0.0441,2.3354835,2.3796234,2,"doublet","solo",0,"2","2","doublet","1","2","0"
"3301","./amplitude_detector_tables/male_10_four_call_bouts.Amplitude.Detector.selections.txt",1626,189.1435899,189.1584014,"1",0.0148,0.0634355,0.078247,1,"doublet","solo",0,"1","1","doublet","1","1","0"
"3302","./amplitude_detector_tables/male_10_four_call_bouts.Amplitude.Detector.selections.txt",1626,189.2218369,189.2627245,"2",0.0409,1.9294036,1.9702912,2,"doublet","solo",0,"2","2","doublet","1","2","0"
"3303","./amplitude_detector_tables/male_10_four_call_bouts.Amplitude.Detector.selections.txt",1626,191.1921281,191.2065252,"1",0.0144,0.0640025,0.0783996,1,"doublet","solo",0,"1","1","doublet","1","1","0"
"3304","./amplitude_detector_tables/male_10_four_call_bouts.Amplitude.Detector.selections.txt",1626,191.2705277,191.3115418,"2",0.041,1.7365738,1.7775879,2,"doublet","solo",0,"2","2","doublet","1","2","0"
"3305","./amplitude_detector_tables/male_10_four_call_bouts.Amplitude.Detector.selections.txt",1626,193.0481156,193.0629724,"1",0.0149,0.0661674,0.0810242,1,"doublet","solo",0,"1","1","doublet","1","1","0"
"3306","./amplitude_detector_tables/male_10_four_call_bouts.Amplitude.Detector.selections.txt",1626,193.1291398,193.1736014,"2",0.0445,1.7627894,1.807251,2,"doublet","solo",0,"2","2","doublet","1","2","0"
"3307","./amplitude_detector_tables/male_10_four_call_bouts.Amplitude.Detector.selections.txt",1626,194.9363908,194.9500842,"1",0.0137,0.0662169,0.0799103,1,"doublet","solo",0,"1","1","doublet","1","1","0"
