Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Max Freq (Hz)	Peak Amp (U)	Freq 5% (Hz)	Freq 25% (Hz)	Freq 75% (Hz)	Freq 95% (Hz)	Note_type	call_type	series_type	series_seq	Call_group_num	Call_num	Notes
300	Spectrogram 1	1	172.8438767	172.8619954	0	22050	0.0181	2583.984		2497.852	2583.984	2583.984	2670.117	1	doublet	solo	0	1	151	
301	Spectrogram 1	1	172.9294328	172.9694631	0	22050	0.04	2670.117		2583.984	2670.117	2756.25	2842.383	2	doublet	solo	0	1	151	
302	Spectrogram 1	1	174.5330094	174.5500322	0	22050	0.017	2583.984		2497.852	2583.984	2583.984	2670.117	1	doublet	solo	0	1	152	
303	Spectrogram 1	1	174.6131333	174.654623	0	22050	0.0415	2670.117		2583.984	2670.117	2756.25	2842.383	2	doublet	solo	0	1	152	
304	Spectrogram 1	1	176.3432206	176.3605866	0	22050	0.0174	2583.984		2497.852	2583.984	2670.117	2756.25	1	doublet	solo	0	1	153	
305	Spectrogram 1	1	176.4260606	176.4670654	0	22050	0.041	2670.117		2583.984	2670.117	2756.25	2842.383	2	doublet	solo	0	1	153	
306	Spectrogram 1	1	177.9221543	177.9382538	0	22050	0.0161	2583.984		2497.852	2583.984	2670.117	2842.383	1	doublet	solo	0	1	154	
307	Spectrogram 1	1	178.0047349	178.046031	0	22050	0.0413	2670.117		2583.984	2670.117	2756.25	2842.383	2	doublet	solo	0	1	154	
308	Spectrogram 1	1	179.8409013	179.8584213	0	22050	0.0175	2583.984		2497.852	2583.984	2670.117	2670.117	1	doublet	solo	0	1	155	
309	Spectrogram 1	1	179.9247636	179.9675492	0	22050	0.0428	2670.117		2583.984	2670.117	2756.25	2842.383	2	doublet	solo	0	1	155	
310	Spectrogram 1	1	182.9459886	182.9638345	0	22050	0.0178	2583.984		2497.852	2583.984	2583.984	2670.117	1	doublet	solo	0	1	156	
311	Spectrogram 1	1	183.0295915	183.0696481	0	22050	0.0401	2670.117		2583.984	2670.117	2756.25	2842.383	2	doublet	solo	0	1	156	
312	Spectrogram 1	1	184.7643327	184.7818679	0	22050	0.0175	2583.984		2497.852	2583.984	2670.117	2756.25	1	doublet	solo	0	1	157	
313	Spectrogram 1	1	184.8432359	184.8831642	0	22050	0.0399	2670.117		2583.984	2670.117	2756.25	2842.383	2	doublet	solo	0	1	157	
314	Spectrogram 1	1	186.2412004	186.2615779	0	22050	0.0204	2583.984		2411.719	2583.984	2670.117	2756.25	1	doublet	solo	0	1	158	
315	Spectrogram 1	1	186.3318376	186.3726884	0	22050	0.0409	2670.117		2583.984	2670.117	2756.25	2842.383	2	doublet	solo	0	1	158	
316	Spectrogram 1	1	187.9205216	187.9381443	0	22050	0.0176	2583.984		2497.852	2583.984	2670.117	2670.117	1	doublet	solo	0	1	159	
317	Spectrogram 1	1	188.004033	188.0439156	0	22050	0.0399	2670.117		2583.984	2670.117	2756.25	2842.383	2	doublet	solo	0	1	159	
318	Spectrogram 1	1	191.0336503	191.0501167	0	22050	0.0165	2583.984		2497.852	2583.984	2670.117	2670.117	1	doublet	solo	0	1	160	
319	Spectrogram 1	1	191.119008	191.1602417	0	22050	0.0412	2670.117		2583.984	2670.117	2756.25	2842.383	2	doublet	solo	0	1	160	
320	Spectrogram 1	1	192.9623612	192.9793354	0	22050	0.017	2583.984		2497.852	2583.984	2670.117	2756.25	1	doublet	solo	0	1	161	
321	Spectrogram 1	1	193.0436448	193.0826188	0	22050	0.039	2670.117		2583.984	2670.117	2756.25	2842.383	2	doublet	solo	0	1	161	
322	Spectrogram 1	1	194.7498216	194.766509	0	22050	0.0167	2583.984		2497.852	2583.984	2670.117	2756.25	1	doublet	solo	0	1	162	
323	Spectrogram 1	1	194.8307084	194.8714753	0	22050	0.0408	2670.117		2583.984	2670.117	2756.25	2842.383	2	doublet	solo	0	1	162	
324	Spectrogram 1	1	196.7863206	196.8027146	0	22050	0.0164	2583.984		2497.852	2583.984	2670.117	2756.25	1	doublet	solo	0	1	163	
325	Spectrogram 1	1	196.8675126	196.9072384	0	22050	0.0397	2670.117		2583.984	2670.117	2756.25	2842.383	2	doublet	solo	0	1	163	
326	Spectrogram 1	1	198.7014665	198.7186709	0	22050	0.0172	2583.984		2497.852	2583.984	2670.117	2670.117	1	doublet	solo	0	1	164	
327	Spectrogram 1	1	198.7814683	198.8226382	0	22050	0.0412	2670.117		2583.984	2670.117	2756.25	2842.383	2	doublet	solo	0	1	164	
328	Spectrogram 1	1	201.5585526	201.576056	0	22050	0.0175	2583.984		2497.852	2583.984	2670.117	2756.25	1	doublet	solo	0	1	165	
329	Spectrogram 1	1	201.6404923	201.681569	0	22050	0.0411	2670.117		2497.852	2583.984	2756.25	2842.383	2	doublet	solo	0	1	165	
330	Spectrogram 1	1	203.4113359	203.430544	0	22050	0.0192	2583.984		2411.719	2497.852	2583.984	2756.25	1	doublet	solo	0	1	166	
331	Spectrogram 1	1	203.4985551	203.5410435	0	22050	0.0425	2670.117		2583.984	2670.117	2756.25	2842.383	2	doublet	solo	0	1	166	
332	Spectrogram 1	1	205.4482316	205.4646814	0	22050	0.0164	2583.984		2497.852	2583.984	2670.117	2756.25	1	doublet	two	1	1	167	
333	Spectrogram 1	1	205.5284165	205.5669362	0	22050	0.0385	2670.117		2583.984	2670.117	2756.25	2842.383	2	doublet	two	1	1	167	
334	Spectrogram 1	1	205.8628282	205.8809488	0	22050	0.0181	2583.984		2497.852	2583.984	2583.984	2670.117	1	doublet	two	2	1	168	
335	Spectrogram 1	1	205.9363908	205.9695823	0	22050	0.0332	2670.117		2497.852	2583.984	2756.25	2756.25	2	doublet	two	2	1	168	
336	Spectrogram 1	1	207.4214524	207.4379082	0	22050	0.0165	2583.984		2497.852	2497.852	2583.984	2670.117	1	doublet	two	1	1	169	
337	Spectrogram 1	1	207.500615	207.5420748	0	22050	0.0415	2670.117		2583.984	2670.117	2756.25	2756.25	2	doublet	two	1	1	169	
338	Spectrogram 1	1	207.7915849	207.8075269	0	22050	0.0159	2583.984		2497.852	2583.984	2670.117	2670.117	1	doublet	two	2	1	170	
339	Spectrogram 1	1	207.8591203	207.893509	0	22050	0.0344	2670.117		2583.984	2670.117	2756.25	2842.383	2	doublet	two	2	1	170	
340	Spectrogram 1	1	209.3119554	209.3287554	0	22050	0.0168	2583.984		2497.852	2497.852	2583.984	2670.117	1	doublet	solo	0	1	171	
341	Spectrogram 1	1	209.3900498	209.428908	0	22050	0.0389	2670.117		2497.852	2583.984	2756.25	2842.383	2	doublet	solo	0	1	171	
342	Spectrogram 1	1	210.6977738	210.7138803	0	22050	0.0161	2583.984		2411.719	2497.852	2583.984	2756.25	1	doublet	two	1	1	172	
343	Spectrogram 1	1	210.7789811	210.8187437	0	22050	0.0398	2670.117		2497.852	2583.984	2756.25	2842.383	2	doublet	two	1	1	172	
344	Spectrogram 1	1	211.0133103	211.0297837	0	22050	0.0165	2497.852		2411.719	2497.852	2583.984	2670.117	1	doublet	two	2	1	173	
345	Spectrogram 1	1	211.0857133	211.123144	0	22050	0.0374	2670.117		2497.852	2670.117	2756.25	2842.383	2	doublet	two	2	1	173	
346	Spectrogram 1	1	212.4026078	212.4183852	0	22050	0.0158	2583.984		2497.852	2497.852	2583.984	2756.25	1	doublet	two	1	1	174	
347	Spectrogram 1	1	212.4813432	212.5222155	0	22050	0.0409	2670.117		2583.984	2670.117	2756.25	2756.25	2	doublet	two	1	1	174	
348	Spectrogram 1	1	212.7268876	212.7414445	0	22050	0.0146	2497.852		2239.453	2411.719	2583.984	2670.117	1	doublet	two	2	1	175	
349	Spectrogram 1	1	212.8055772	212.8468522	0	22050	0.0413	2670.117		2583.984	2670.117	2756.25	2756.25	2	doublet	two	2	1	175	
350	Spectrogram 1	1	214.0854692	214.1017802	0	22050	0.0163	2583.984		2497.852	2497.852	2670.117	2756.25	1	doublet	two	1	1	176	
351	Spectrogram 1	1	214.1618089	214.2025515	0	22050	0.0407	2670.117		2583.984	2670.117	2756.25	2842.383	2	doublet	two	1	1	176	
352	Spectrogram 1	1	214.3852433	214.4020711	0	22050	0.0168	2583.984		2497.852	2583.984	2583.984	2670.117	1	doublet	two	2	1	177	
353	Spectrogram 1	1	214.4560594	214.4909495	0	22050	0.0349	2670.117		2583.984	2670.117	2756.25	2756.25	2	doublet	two	2	1	177	
354	Spectrogram 1	1	215.8067063	215.8232553	0	22050	0.0165	2583.984		2497.852	2583.984	2583.984	2670.117	1	doublet	three	1	1	178	
