Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Max Freq (Hz)	Peak Amp (U)	Freq 5% (Hz)	Freq 25% (Hz)	Freq 75% (Hz)	Freq 95% (Hz)	Note_type	call_type	series_type	series_seq	Call_group_num	Call_num	Notes
14	Waveform 1	1	55.98532632	56.02989373	0	22050	0.0446		13702					2	doublet	solo	0	2	7	
20	Waveform 1	1	58.03847298	58.05479646	0	22050	0.0163		10128					1	doublet	solo	0	2	8	
21	Waveform 1	1	58.11228924	58.15734398	0	22050	0.0451		18588					2	doublet	solo	0	2	8	
22	Waveform 1	1	59.91612225	59.93154982	0	22050	0.0154		11910					1	doublet	solo	0	2	9	
23	Waveform 1	1	59.99639493	60.04334141	0	22050	0.0469		20177					2	doublet	solo	0	2	9	
24	Waveform 1	1	61.59578305	61.6119816	0	22050	0.0162		12847					1	doublet	solo	0	2	10	
25	Waveform 1	1	61.67668896	61.72168797	0	22050	0.045		20634					2	doublet	solo	0	2	10	
26	Waveform 1	1	90.05543881	90.09814941	0	22050	0.0427		13775					1	doublet	solo	0	3	11	
31	Waveform 1	1	91.72333127	91.73618002	0	22050	0.0128		10025					2	doublet	solo	0	3	12	
32	Waveform 1	1	91.8035162	91.84751169	0	22050	0.044		17689					1	doublet	solo	0	3	12	
37	Waveform 1	1	93.56362515	93.57728171	0	22050	0.0137		12081					2	doublet	solo	0	3	13	
38	Waveform 1	1	93.64480954	93.69274127	0	22050	0.0479		19375					1	doublet	solo	0	3	13	
41	Waveform 1	1	95.57623654	95.59065662	0	22050	0.0144		12407					2	doublet	solo	0	3	14	
42	Waveform 1	1	95.65965634	95.70557318	0	22050	0.0459		20614					1	doublet	solo	0	3	14	
44	Waveform 1	1	97.66378384	97.67991489	0	22050	0.0161		12854					2	doublet	solo	0	3	15	
45	Waveform 1	1	97.74924832	97.79571432	0	22050	0.0465		20652					1	doublet	solo	0	3	15	
46	Waveform 1	1	99.3467825	99.36217383	0	22050	0.0154		13581					2	doublet	solo	0	3	16	
47	Waveform 1	1	99.42605191	99.47603903	0	22050	0.05		21269					1	doublet	solo	0	3	16	
48	Waveform 1	1	101.3106573	101.3255498	0	22050	0.0149		14376					2	doublet	solo	0	3	17	
49	Waveform 1	1	101.3917196	101.4405871	0	22050	0.0489		21410					1	doublet	solo	0	3	17	
50	Waveform 1	1	111.5164984	111.5311036	0	22050	0.0146		8481					2	doublet	solo	0	4	18	
51	Waveform 1	1	111.5843084	111.6264525	0	22050	0.0421		17849					1	doublet	solo	0	4	18	
52	Waveform 1	1	113.9364889	113.9511813	0	22050	0.0147		10820					2	doublet	solo	0	4	19	
53	Waveform 1	1	114.0121573	114.0537647	0	22050	0.0416		19299					1	doublet	solo	0	4	19	
54	Waveform 1	1	136.4666993	136.4815193	0	22050	0.0148		7273					2	doublet	solo	0	5	20	
55	Waveform 1	1	136.5374792	136.578339	0	22050	0.0409		16013					1	doublet	solo	0	5	20	
56	Waveform 1	1	138.8673437	138.8839815	0	22050	0.0166		11059					2	doublet	solo	0	5	21	
57	Waveform 1	1	138.9459417	138.9917346	0	22050	0.0458		20130					1	doublet	solo	0	5	21	
58	Waveform 1	1	140.5806678	140.5977431	0	22050	0.0171		10133					2	doublet	solo	0	5	22	
59	Waveform 1	1	140.6627234	140.7082263	0	22050	0.0455		19923					1	doublet	solo	0	5	22	
61	Waveform 1	1	142.3008001	142.3169315	0	22050	0.0161		12787					2	doublet	solo	0	5	23	
62	Waveform 1	1	142.3799017	142.4233155	0	22050	0.0434		21399					1	doublet	solo	0	5	23	
63	Waveform 1	1	143.98505	144.0012882	0	22050	0.0162		12711					2	doublet	solo	0	5	24	
64	Waveform 1	1	144.063648	144.1070606	0	22050	0.0434		20162					1	doublet	solo	0	5	24	
65	Waveform 1	1	146.0704992	146.087113	0	22050	0.0166		12771					2	doublet	solo	0	5	25	
