Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Max Freq (Hz)	Peak Amp (U)	Freq 5% (Hz)	Freq 25% (Hz)	Freq 75% (Hz)	Freq 95% (Hz)	Note_type	call_type	series_type	series_seq	Call_group_num	Call_num	Notes
120	Spectrogram 1	1	194.9363908	194.9500842	0	22050	0.0137	2411.719		2239.453	2325.586	2411.719	2583.984	1	doublet	two	2	3	46	
121	Spectrogram 1	1	195.0163011	195.0615706	0	22050	0.0453	2497.852		2411.719	2497.852	2583.984	2670.117	2	doublet	two	2	3	46	
122	Spectrogram 1	1	196.8998918	196.9149177	0	22050	0.015	2411.719		2325.586	2411.719	2411.719	2497.852	1	doublet	solo	0	3	47	
123	Spectrogram 1	1	196.9805955	197.027469	0	22050	0.0469	2497.852		2411.719	2497.852	2583.984	2670.117	2	doublet	solo	0	3	47	
124	Spectrogram 1	1	198.4430589	198.4578101	0	22050	0.0148	2411.719		2239.453	2325.586	2497.852	2583.984	1	doublet	solo	0	3	48	
125	Spectrogram 1	1	198.5248307	198.5727061	0	22050	0.0479	2497.852		2411.719	2497.852	2583.984	2670.117	2	doublet	solo	0	3	48	
126	Spectrogram 1	1	198.8001145	198.8135759	0	22050	0.0135	2411.719		2325.586	2411.719	2497.852	2497.852	1	doublet	solo	0	3	49	
127	Spectrogram 1	1	198.8791551	198.9170742	0	22050	0.0379	2497.852		2411.719	2497.852	2583.984	2583.984	2	doublet	solo	0	3	49	
36	Spectrogram 1	1	48.99765455	49.00900154	0	22050	0.0113	2411.719		2239.453	2325.586	2411.719	2497.852	1	doublet	solo	0	2	5	
37	Spectrogram 1	1	49.06986323	49.11345056	0	22050	0.0436	2411.719		2411.719	2411.719	2497.852	2583.984	2	doublet	solo	0	2	5	
128	Spectrogram 1	1	226.4047135	226.416143	0	22050	0.0114	2411.719		2239.453	2411.719	2497.852	2583.984	1	doublet	solo	0	4	50	
129	Spectrogram 1	1	226.4814805	226.5219039	0	22050	0.0404	2497.852		2411.719	2497.852	2583.984	2670.117	2	doublet	solo	0	4	50	
130	Spectrogram 1	1	228.4734086	228.4862119	0	22050	0.0128	2411.719		2239.453	2325.586	2411.719	2497.852	1	doublet	solo	0	4	51	
131	Spectrogram 1	1	228.5490464	228.5931659	0	22050	0.0441	2411.719		2411.719	2411.719	2497.852	2583.984	2	doublet	solo	0	4	51	
132	Spectrogram 1	1	230.3268327	230.3398471	0	22050	0.013	2411.719		2239.453	2325.586	2411.719	2497.852	1	doublet	two	1	4	52	
133	Spectrogram 1	1	230.4042253	230.4504064	0	22050	0.0462	2497.852		2325.586	2411.719	2583.984	2670.117	2	doublet	two	1	4	52	
134	Spectrogram 1	1	231.9694566	231.9832549	0	22050	0.0138	2411.719		2239.453	2325.586	2411.719	2497.852	1	doublet	two	2	4	53	
135	Spectrogram 1	1	232.0467118	232.0943921	0	22050	0.0477	2497.852		2411.719	2497.852	2583.984	2670.117	2	doublet	two	2	4	53	
136	Spectrogram 1	1	233.921132	233.9353829	0	22050	0.0143	2411.719		2239.453	2325.586	2497.852	2497.852	1	doublet	solo	0	4	54	
137	Spectrogram 1	1	233.9986466	234.0450656	0	22050	0.0464	2497.852		2411.719	2497.852	2583.984	2670.117	2	doublet	solo	0	4	54	
138	Spectrogram 1	1	243.1463809	243.1537751	0	22050	0.0074	2067.188		1894.922	1981.055	2153.32	2239.453	1	doublet	solo	0	4	55	
139	Spectrogram 1	1	243.2204331	243.2711502	0	22050	0.0507	2239.453		2153.32	2153.32	2239.453	2325.586	2	doublet	solo	0	4	55	
140	Spectrogram 1	1	245.2016343	245.2155539	0	22050	0.0139	2239.453		2153.32	2153.32	2325.586	2411.719	1	doublet	solo	0	4	56	
141	Spectrogram 1	1	245.2789048	245.3279709	0	22050	0.0491	2411.719		2325.586	2411.719	2497.852	2583.984	2	doublet	solo	0	4	56	
142	Spectrogram 1	1	248.5057572	248.5196724	0	22050	0.0139	2239.453		2153.32	2239.453	2325.586	2325.586	1	doublet	solo	0	4	57	
143	Spectrogram 1	1	248.581334	248.6266417	0	22050	0.0453	2411.719		2325.586	2411.719	2497.852	2497.852	2	doublet	solo	0	4	57	
144	Spectrogram 1	1	250.2002763	250.2156111	0	22050	0.0153	2325.586		2153.32	2239.453	2325.586	2497.852	1	doublet	solo	0	4	58	
145	Spectrogram 1	1	250.2763719	250.3230743	0	22050	0.0467	2411.719		2325.586	2411.719	2497.852	2497.852	2	doublet	solo	0	4	58	
146	Spectrogram 1	1	251.8070115	251.8223953	0	22050	0.0154	2325.586		2239.453	2325.586	2411.719	2497.852	1	doublet	solo	0	4	59	
147	Spectrogram 1	1	251.886876	251.9331933	0	22050	0.0463	2497.852		2411.719	2411.719	2583.984	2583.984	2	doublet	solo	0	4	59	
38	Spectrogram 1	1	50.63914956	50.65238771	0	22050	0.0132	2325.586		2239.453	2325.586	2411.719	2497.852	1	doublet	solo	0	2	6	
39	Spectrogram 1	1	50.72015848	50.7644337	0	22050	0.0443	2497.852		2411.719	2411.719	2497.852	2583.984	2	doublet	solo	0	2	6	
148	Spectrogram 1	1	253.4595994	253.4758261	0	22050	0.0162	2325.586		2239.453	2325.586	2411.719	2497.852	1	doublet	solo	0	4	60	
149	Spectrogram 1	1	253.5383042	253.5892096	0	22050	0.0509	2497.852		2325.586	2411.719	2497.852	2670.117	2	doublet	solo	0	4	60	
150	Spectrogram 1	1	253.7914018	253.8052032	0	22050	0.0138	2411.719		2239.453	2325.586	2411.719	2497.852	1	doublet	solo	0	4	61	
151	Spectrogram 1	1	253.867772	253.9074496	0	22050	0.0397	2497.852		2325.586	2411.719	2497.852	2583.984	2	doublet	solo	0	4	61	
152	Spectrogram 1	1	254.4252433	254.5278112	0	22050	0.1026	2497.852		1550.391	2411.719	2497.852	3014.648	1	doublet	solo	0	4	62	
153	Spectrogram 1	1	255.9024247	255.9182904	0	22050	0.0159	2325.586		2239.453	2325.586	2411.719	2497.852	2	doublet	solo	0	4	63	
154	Spectrogram 1	1	255.9872788	256.0380793	0	22050	0.0508	2497.852		2325.586	2411.719	2583.984	2670.117	1	doublet	two	1	4	63	
155	Spectrogram 1	1	256.2147416	256.2270359	0	22050	0.0123	2411.719		2153.32	2325.586	2497.852	2583.984	2	doublet	two	1	4	64	
